Date,open,high,low,close,volume
2025-01-03,1011.26,1013.08,999.22,1009.94,469000
2025-01-06,1014.71,1018.43,1000.7,1001.94,616200
2025-01-07,1000.21,1001.2,967.81,970.3,970500
2025-01-08,969.78,979.72,965.64,975.58,778500
2025-01-10,969.34,971.57,938.04,945.44,908200
2025-01-13,936.15,947.04,933.28,944.82,794100
2025-01-14,954.03,959.26,947.82,952.89,1058100
2025-01-15,1008.89,1014.51,980.43,1002.37,1140100
2025-01-16,1005.69,1005.69,971.7,985.1,883800
2025-01-17,990.22,1002.0,986.37,994.24,1085800
2025-01-21,1003.2,1015.99,993.01,1001.29,671600
2025-01-22,1001.68,1003.0,987.6,995.6,570300
2025-01-23,993.25,1006.95,990.15,1006.87,645300
2025-01-24,1002.33,1015.05,1002.33,1009.56,731300
2025-01-27,999.22,1019.91,993.97,1018.95,662500
2025-01-28,1018.69,1044.46,1016.09,1039.99,1083000
2025-01-29,1035.94,1055.45,1034.16,1041.38,808600
2025-01-30,1057.79,1066.75,1048.03,1060.09,532100
2025-01-31,1062.63,1072.65,1057.36,1064.03,957600
2025-02-03,1043.23,1045.27,995.89,1002.93,1502200
2025-02-04,1000.75,1008.62,993.29,1004.82,931100
2025-02-05,1009.12,1016.59,995.18,1003.68,710200
2025-02-06,1009.46,1012.88,994.28,995.88,688500
2025-02-07,998.0,1005.07,980.58,981.46,731700
2025-02-10,984.38,985.71,966.37,975.04,683700
2025-02-11,969.54,978.9,963.21,977.66,884900
2025-02-12,964.64,970.43,955.58,963.32,562900
2025-02-13,968.59,971.52,959.92,969.84,480500
2025-02-14,964.6,968.21,958.05,963.53,965200
2025-02-18,958.8,967.44,948.84,967.43,1048500
2025-02-19,960.64,979.14,956.56,975.82,760300
2025-02-20,975.98,980.74,963.63,978.82,769700
2025-02-21,981.9,982.61,960.65,963.83,1254000
2025-02-24,964.94,971.8,937.99,942.63,1141500
2025-02-25,947.73,955.81,935.77,947.79,1004000
2025-02-26,946.3,956.79,942.12,943.59,614300
2025-02-27,948.87,959.64,933.43,934.81,675200
2025-02-28,933.12,970.02,931.96,967.35,1412300
2025-03-03,969.39,980.22,948.61,956.16,767000
2025-03-04,942.2,954.29,923.38,941.64,1040000
2025-03-05,953.72,959.31,937.74,957.81,837800
2025-03-06,947.41,958.67,938.61,949.4,698000
2025-03-07,948.01,948.01,914.15,941.93,1180800
2025-03-10,913.26,926.87,896.78,910.44,1069500
2025-03-11,907.32,918.11,900.18,905.57,963100
2025-03-12,915.15,918.66,898.78,905.27,630200
2025-03-13,908.21,908.69,893.53,895.72,656600
2025-03-14,910.2,924.21,903.14,923.81,623600
2025-03-17,932.19,955.88,928.45,952.95,922300
2025-03-18,952.59,959.49,950.97,953.57,1086200
2025-03-19,954.62,960.91,945.99,952.19,1086700
2025-03-20,947.67,956.56,944.52,949.14,667900
